diretory_path,train,train_mse,train_rmse,train_mae,train_mapd,train_r2_squared,validation,val_mse,val_rmse,val_mae,val_mapd,val_r2_squared,test,test_mse,test_rmse,test_mae,test_mapd,test_r2_squared,time complexity,training time,validation time,test time,hyper-parameters,batch_size,lr_val,num_epochs,init_weights,num_hidden_layers,nodes_per_layer,activation,other parameters,feature_processing,label_type,input_feature_size,output_size,input_path,output_path,device
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_39_3396121,train,58.52241898,7.64999485,6.46847486,36.02422953,-0.01303306,val,57.37654114,7.5747304,6.44117451,36.88974316,-0.03243598,test,60.59430695,7.78423452,6.55485916,34.59457023,-8.395e-05,time complexity,5614.764590501785,0.1560003757476806,0.1539993286132812,hyper-parameters,1,0.1,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_39_3398781,train,57.77137375,7.60074806,6.20703983,33.2818696,-3.231e-05,val,55.76031113,7.46728277,6.13544655,33.90499961,-0.00335339,test,61.29413986,7.82905722,6.37660027,32.30017146,-0.01163442,time complexity,1333.239589691162,0.3109996318817138,0.3069989681243896,hyper-parameters,128,0.1,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_44_2677488,train,0.02278205,0.15093723,0.10569306,0.5438201,0.99960564,val,0.02805319,0.16749085,0.11298991,0.61904483,0.99949521,test,0.03319929,0.18220672,0.11662143,0.60390997,0.99945206,time complexity,464.8069999217987,0.1029999256134033,0.094999074935913,hyper-parameters,256,0.05,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_46_5947355,train,58.0700264,7.62036896,6.37226582,35.04093294,-0.00520207,val,56.62068176,7.52467155,6.32855844,35.81723749,-0.01883497,test,60.65082169,7.78786373,6.48732615,33.76601231,-0.00101667,time complexity,529.5270018577576,0.1079998016357421,0.0999979972839355,hyper-parameters,512,0.05,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_47_0456547,train,0.07467721,0.27327129,0.22028853,1.15840693,0.99870732,val,0.0876951,0.29613358,0.23084983,1.25589135,0.99842201,test,0.09702537,0.31148896,0.24003001,1.25948292,0.99839864,time complexity,5723.49199795723,0.1390013694763183,0.1329991817474365,hyper-parameters,1,0.01,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_48_246019,train,0.20581318,0.45366639,0.39115727,1.84080517,0.99643734,val,0.20491241,0.45267251,0.38861543,1.88409272,0.9963128,test,0.23556507,0.48535046,0.418937,1.90417644,0.9961121,time complexity,17208.98799920082,0.499000072479248,0.4800009727478027,hyper-parameters,2,0.01,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_51_4626973,train,0.01670245,0.12923795,0.09666874,0.50911814,0.99971088,val,0.02185432,0.14783207,0.10645597,0.56758672,0.99960675,test,0.02239924,0.14966376,0.10883801,0.5482491,0.99963031,time complexity,13334.942999362946,1.3289999961853027,1.3670001029968262,hyper-parameters,4,0.01,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_52_1027184,train,0.0362163,0.19030581,0.15064818,0.7293299,0.99937309,val,0.04113413,0.2028155,0.15668814,0.78650007,0.99925983,test,0.04281972,0.20692925,0.16126652,0.75388782,0.99929328,time complexity,8497.20400094986,0.86199951171875,0.8429999351501465,hyper-parameters,8,0.01,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_52_2589123,train,0.01757455,0.13256903,0.09936383,0.48406712,0.99969578,val,0.02009571,0.14175934,0.10524178,0.53559298,0.9996384,test,0.02120478,0.1456186,0.11008175,0.52558803,0.99965002,time complexity,5233.855999469757,0.4490001201629638,0.4530017375946045,hyper-parameters,16,0.01,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_56_066418,train,0.03766005,0.19406199,0.15368171,0.7227083,0.9993481,val,0.04100696,0.20250174,0.16138147,0.81025119,0.99926212,test,0.04619518,0.21493064,0.17128713,0.78895498,0.99923757,time complexity,5075.621999263763,0.6249997615814209,0.4700014591217041,hyper-parameters,32,0.01,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
